         647060 function calls (643877 primitive calls) in 1.693 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30    0.001    0.000    0.004    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:1521(autocorrelation)
        1    0.000    0.000    0.004    0.004 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/internals/construction.py:382(to_arrays)
        1    0.000    0.000    0.004    0.004 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/internals/construction.py:469(_list_of_dict_to_arrays)
      297    0.001    0.000    0.004    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/lib/function_base.py:1628(extract)
      301    0.004    0.000    0.004    0.000 {method 'searchsorted' of 'numpy.ndarray' objects}
       24    0.000    0.000    0.004    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/lib/function_base.py:3564(percentile)
        9    0.000    0.000    0.004    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/scipy/signal/wavelets.py:311(cwt)
     2807    0.001    0.000    0.004    0.000 /anaconda3/envs/mypython3/lib/python3.7/abc.py:137(__instancecheck__)
    10572    0.004    0.000    0.004    0.000 {built-in method builtins.max}
       24    0.000    0.000    0.004    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/lib/function_base.py:3821(_quantile_unchecked)
        3    0.000    0.000    0.004    0.001 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/base.py:1222(value_counts)
        3    0.000    0.000    0.004    0.001 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/algorithms.py:646(value_counts)
       69    0.000    0.000    0.004    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/statsmodels/base/model.py:1080(llf)
        6    0.000    0.000    0.004    0.001 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/internals/construction.py:170(init_dict)
       16    0.000    0.000    0.004    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/frame.py:2893(__getitem__)
    25956    0.004    0.000    0.004    0.000 {built-in method builtins.issubclass}
       69    0.001    0.000    0.004    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/statsmodels/regression/linear_model.py:821(loglike)
     1263    0.002    0.000    0.004    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/dtypes/dtypes.py:672(construct_from_string)
        3    0.000    0.000    0.004    0.001 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:915(fft_coefficient)
        1    0.000    0.000    0.004    0.004 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/frame.py:7486(nunique)
        1    0.000    0.000    0.004    0.004 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/frame.py:6310(apply)
     1759    0.001    0.000    0.004    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/fromnumeric.py:1110(argmin)
      553    0.000    0.000    0.004    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/_methods.py:42(_any)
       24    0.001    0.000    0.004    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/lib/function_base.py:3846(_quantile_ureduce_func)
     1591    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      6/4    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap>:663(_load_unlocked)
    35/29    0.001    0.000    0.004    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/indexes/base.py:253(__new__)
      756    0.002    0.000    0.004    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:34(_roll)
     1950    0.001    0.000    0.004    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/utilities/string_manipulation.py:71(<genexpr>)
       93    0.000    0.000    0.003    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/fromnumeric.py:3126(std)
      391    0.001    0.000    0.003    0.000 {method 'any' of 'numpy.ndarray' objects}
     4240    0.003    0.000    0.003    0.000 {built-in method numpy.empty_like}
      786    0.002    0.000    0.003    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/algorithms.py:1015(_get_score)
      151    0.000    0.000    0.003    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/numerictypes.py:602(find_common_type)
      589    0.001    0.000    0.003    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/dtypes/inference.py:253(is_list_like)
       93    0.000    0.000    0.003    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/_methods.py:138(_std)
     2114    0.003    0.000    0.003    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/scipy/signal/_peak_finding.py:1182(filt_func)
        1    0.000    0.000    0.003    0.003 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tqdm/_tqdm.py:459(__new__)
18938/18696    0.003    0.000    0.003    0.000 {built-in method builtins.len}
      285    0.001    0.000    0.003    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/fromnumeric.py:1966(sum)
        7    0.000    0.000    0.003    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/internals/construction.py:43(arrays_to_mgr)
      7/6    0.000    0.000    0.003    0.001 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/util/_decorators.py:146(wrapper)
       30    0.000    0.000    0.003    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/scipy/signal/signaltools.py:698(convolve)
        6    0.000    0.000    0.003    0.001 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/arrayprint.py:1397(_array_repr_implementation)
       25    0.000    0.000    0.003    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/internals/managers.py:1640(create_block_manager_from_blocks)
        6    0.000    0.000    0.003    0.001 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/arrayprint.py:518(array2string)
     2807    0.002    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
       35    0.000    0.000    0.003    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/internals/managers.py:97(__init__)
        6    0.000    0.000    0.003    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/arrayprint.py:463(wrapper)
        3    0.000    0.000    0.003    0.001 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:1177(cwt_coefficients)
        1    0.000    0.000    0.003    0.003 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tqdm/_tqdm.py:562(get_lock)
        6    0.000    0.000    0.003    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/arrayprint.py:480(_array2string)
        1    0.000    0.000    0.003    0.003 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tqdm/_tqdm.py:81(__init__)
       57    0.000    0.000    0.003    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:212(large_standard_deviation)
      228    0.000    0.000    0.003    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/fromnumeric.py:2083(any)
        1    0.000    0.000    0.003    0.003 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tqdm/_tqdm.py:103(create_mp_lock)
        1    0.000    0.000    0.003    0.003 /anaconda3/envs/mypython3/lib/python3.7/multiprocessing/context.py:69(RLock)
     4252    0.003    0.000    0.003    0.000 {built-in method numpy.copyto}
        4    0.000    0.000    0.003    0.001 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/algorithms.py:559(factorize)
     2128    0.003    0.000    0.003    0.000 {method 'argsort' of 'numpy.ndarray' objects}
